identifiers_isbn_10,identifiers_isbn_13,identifiers_openlibrary,links,url,number_of_pages,pagination,ebooks,subject_people,weight,subject_places,subject_times,key,cover_small,cover_medium,cover_large,by_statement,title,publish_date,table_of_contents,publish_places,subjects,authors,classifications_lc_classifications,excerpts,notes,subtitle,publishers,classifications,identifiers_librarything,identifiers_goodreads,identifiers_lccn,identifiers_oclc,cover,classifications_dewey_decimal_class,identifiers_amazon,identifiers_wikidata,identifiers_overdrive,identifiers_alibris_id,identifiers_google,identifiers_musicbrainz
0446696161,9780446696166,OL16341636M,,https://openlibrary.org/books/OL16341636M/Fledgling,310.0,310 p. ;,,,,,,/books/OL16341636M,https://covers.openlibrary.org/b/id/12420221-S.jpg,https://covers.openlibrary.org/b/id/12420221-M.jpg,https://covers.openlibrary.org/b/id/12420221-L.jpg,Octavia E. Butler.,Fledgling,2007,,New York,"Mystery; Vampires; Fiction; Young women; Vampires, fiction; Young women, fiction; Fiction, psychological; Fiction, horror; Fiction, fantasy, general; Fantasy; Paranormal; Horror; Science Fiction; Action & Adventure; FICTION / Fantasy / Paranormal; FICTION / Horror; FICTION / Science Fiction / Action & Adventure; Fiction, visionary & metaphysical; Vampires--fiction; Young women--fiction; Ps3552.u827 f47 2007",Octavia E. Butler; Tracey Leigh; Nisi Shawl; Philippe Rouard,PS3552.U827 F47 2007; PS3552.U827F47 2007; PS3552.U827 F47 2007x; PS3552.U827 F47 2005,,,,Warner Books,,1094471,60925,2006928308; 2005005664,77122471; 428816509; 61273100,,,,,,,,
0446698903,9780446698900,OL7538643M,,https://openlibrary.org/books/OL7538643M/Seed_to_Harvest,784.0,,"{'preview_url': 'https://archive.org/details/seedtoharvest0000butl', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL7538643M,https://covers.openlibrary.org/b/id/288745-S.jpg,https://covers.openlibrary.org/b/id/288745-M.jpg,https://covers.openlibrary.org/b/id/288745-L.jpg,,Seed to Harvest,"January 5, 2007",,,"American Science fiction; Telepathy; Fiction; Fiction, science fiction, general; Human-alien encounters",Octavia E. Butler,; PS3552.U827 S44 2007,,,,Grand Central Publishing; Warner Books,,1737210,60924,2006928319,77495051; 428788488,,,,,,,,
0451086732,9780451086730,OL7570605M,,https://openlibrary.org/books/OL7570605M/Survivor,,,,,,,,/books/OL7570605M,,,,,Survivor,"May 1, 1979",,,"Fiction, general; Fiction, science fiction, general; Science fiction",Octavia E. Butler,,,,,Signet,,245061,256890,,,,,,,,,,
0002179083,,OL2109654M,,https://openlibrary.org/books/OL2109654M/The_Canlit_foodbook,216.0,"vi, 216 p. :","{'preview_url': 'https://archive.org/details/canlitfoodbookfr0000atwo', 'availability': 'borrow', 'formats': {}, 'borrow_url': 'https://openlibrary.org/books/OL2109654M/The_Canlit_foodbook/borrow', 'checkedout': False}",,,,,/books/OL2109654M,https://covers.openlibrary.org/b/id/12507539-S.jpg,https://covers.openlibrary.org/b/id/12507539-M.jpg,https://covers.openlibrary.org/b/id/12507539-L.jpg,compiled and illustrated by Margaret Atwood.,The Canlit foodbook,1987,,Toronto,Canadian poetry; Literary collections; Cuisine; Food; Cooking; Literatur; Anthologies; Canadian literature (English); Anthologie; Canadian fiction; Literary cookbooks; Aliments; Nahrungsaufnahme (Motiv),Margaret Atwood,TX652 .C314 1987,,Includes index.,from pen to palate : a collection of tasty literary fare,Totem Books,,1179770,1133655,88162314; cn87094394,20629375; 16357560,,641.5,,,,,,
0007113609,9780007113606,OL32318764M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/2000/09/08/books/books-of-the-times-three-stories-woven-into-a-suspenseful-design.html'}; {'title': 'New York Times review', 'url': 'http://www.nytimes.com/2000/09/03/books/wheels-within-wheels.html'}",https://openlibrary.org/books/OL32318764M/The_Blind_Assassin,,,,,,,,/books/OL32318764M,https://covers.openlibrary.org/b/id/10942411-S.jpg,https://covers.openlibrary.org/b/id/10942411-M.jpg,https://covers.openlibrary.org/b/id/10942411-L.jpg,,The Blind Assassin,"Sep 30, 2000",,,"Death; Muerte; Hermanas; Novela psicológica; Viudas; Fiction; Sisters; Ficción; Widows; Novela hogareña; Psychological fiction; Women novelists; Aged women; Authorship; Older women; Domestic fiction; Reading Level-Grade 9; Reading Level-Grade 11; Reading Level-Grade 10; Reading Level-Grade 12; Betrayal; Reminiscing in old age; Science fiction; Large type books; Canadian fiction (fictional works by one author); Sisters, fiction; Widows, fiction; Authors, fiction; New York Times reviewed; Man-woman relationships; American literature; Sœurs; Romans, nouvelles; Mort; Roman; Art d'écrire; Romancières; Femmes âgées; Veuves; Roman familial; Psychological; Canadian fiction; Roman canadien; Souvenir chez la personne âgée; Vingtième siècle; Littérature canadienne; Sisters--death; Sisters--death--fiction; Fiction--authorship; Fiction--authorship--fiction; Women novelists--fiction; Older women--fiction; Widows--fiction; Pr9199.3.a8 b55 2001",Margaret Atwood,,,,,Harpercollins Pub Ltd,,,,,,,,,,,,,
0007154747,9780007154746,OL7262595M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/2000/09/08/books/books-of-the-times-three-stories-woven-into-a-suspenseful-design.html'}; {'title': 'New York Times review', 'url': 'http://www.nytimes.com/2000/09/03/books/wheels-within-wheels.html'}",https://openlibrary.org/books/OL7262595M/The_Blind_Assassin,,,,,,,,/books/OL7262595M,https://covers.openlibrary.org/b/id/1058940-S.jpg,https://covers.openlibrary.org/b/id/1058940-M.jpg,https://covers.openlibrary.org/b/id/1058940-L.jpg,,The Blind Assassin,"January 20, 2003",,,"Death; Muerte; Hermanas; Novela psicológica; Viudas; Fiction; Sisters; Ficción; Widows; Novela hogareña; Psychological fiction; Women novelists; Aged women; Authorship; Older women; Domestic fiction; Reading Level-Grade 9; Reading Level-Grade 11; Reading Level-Grade 10; Reading Level-Grade 12; Betrayal; Reminiscing in old age; Science fiction; Large type books; Canadian fiction (fictional works by one author); Sisters, fiction; Widows, fiction; Authors, fiction; New York Times reviewed; Man-woman relationships; American literature; Sœurs; Romans, nouvelles; Mort; Roman; Art d'écrire; Romancières; Femmes âgées; Veuves; Roman familial; Psychological; Canadian fiction; Roman canadien; Souvenir chez la personne âgée; Vingtième siècle; Littérature canadienne; Sisters--death; Sisters--death--fiction; Fiction--authorship; Fiction--authorship--fiction; Women novelists--fiction; Older women--fiction; Widows--fiction; Pr9199.3.a8 b55 2001",Margaret Atwood,,,,,HarperCollins Audio,,409,441769,,77479374,,,,,,,,
0007218443,9780007218448,OL43532720M,,https://openlibrary.org/books/OL43532720M/The_Blind_Assassin,,,,,,,,/books/OL43532720M,,,,,The Blind Assassin,,,,,,,,,,,,,,,,,,,,,,,
0007623410,9780007623419,OL47084947M,,https://openlibrary.org/books/OL47084947M/Margaret_Atwood_Collection,,,,,,,,/books/OL47084947M,https://covers.openlibrary.org/b/id/13449551-S.jpg,https://covers.openlibrary.org/b/id/13449551-M.jpg,https://covers.openlibrary.org/b/id/13449551-L.jpg,,Margaret Atwood Collection,,,,,,,,"Source title: Margaret Atwood Collection: ""Alias Grace"", ""The Blind Assassin""","""Alias Grace"", ""The Blind Assassin""",HarperCollins Audio,,,,,,,,,,,,,
0060101636,,OL5042413M,,https://openlibrary.org/books/OL5042413M/You_are_happy,96.0,96 p. ;,"{'preview_url': 'https://archive.org/details/youarehappypoems0000atwo_l4n6', 'availability': 'borrow', 'formats': {}, 'borrow_url': 'https://openlibrary.org/books/OL5042413M/You_are_happy/borrow', 'checkedout': False}",,,,,/books/OL5042413M,https://covers.openlibrary.org/b/id/14339091-S.jpg,https://covers.openlibrary.org/b/id/14339091-M.jpg,https://covers.openlibrary.org/b/id/14339091-L.jpg,Margaret Atwood.,You are happy,1974,,New York,Self-realization; Canadian poetry,Margaret Atwood,PR9199.3.A8 Y6 1974; PR9199.3.A8.Y6 1974,,,[poems],Harper & Row,,365870,694166; 7025997,74001787,,,811/.5/4,,,,,,
0060101644,9780060101640,OL7275044M,,https://openlibrary.org/books/OL7275044M/You_Are_Happy,96.0,,,,,,,/books/OL7275044M,https://covers.openlibrary.org/b/id/13620786-S.jpg,https://covers.openlibrary.org/b/id/13620786-M.jpg,https://covers.openlibrary.org/b/id/13620786-L.jpg,,You Are Happy,June 1975,,,Self-realization; Canadian poetry,Margaret Atwood,,,,[Poems],Harpercollins; HarperCollins,,365870,694166,,,,,,,,,,
0060101660; 0060101679,,OL5289368M,,https://openlibrary.org/books/OL5289368M/Power_politics,56.0,56 p.,,,,,,/books/OL5289368M,,,,[by] Margaret Atwood.,Power politics,1973,,New York,American literature; Poetry (poetic works by one author); Canadian poetry; Canadian Poets,Margaret Atwood,PR9199.A76 P6 1973,,Poems.,,Harper & Row,,168758,2935985; 3128794,72009105,,,811/.5/4,,,,,,
0060101660; 0060101679,,OL5289368M,,https://openlibrary.org/books/OL5289368M/Power_politics,56.0,56 p.,,,,,,/books/OL5289368M,,,,[by] Margaret Atwood.,Power politics,1973,,New York,American literature; Poetry (poetic works by one author); Canadian poetry; Canadian Poets,Margaret Atwood,PR9199.A76 P6 1973,,Poems.,,Harper & Row,,168758,2935985; 3128794,72009105,,,811/.5/4,,,,,,
006303249X,9780063032491,OL28768862M,,https://openlibrary.org/books/OL28768862M/Dearly,144.0,,"{'preview_url': 'https://archive.org/details/dearlynewpoems0000atwo', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL28768862M,https://covers.openlibrary.org/b/id/14552649-S.jpg,https://covers.openlibrary.org/b/id/14552649-M.jpg,https://covers.openlibrary.org/b/id/14552649-L.jpg,,Dearly,2020,,,"Poetry (poetic works by one author); English literature; Modern Poetry; POETRY / Women Authors; POETRY / Canadian / General; POETRY / Subjects & Themes / Death, Grief, Loss",Margaret Atwood,PR9199.3.A8 A6 2020,,,New Poems,Ecco,,,,,1201533601,,,,,,,,
0063032503,9780063032507,OL32063059M,,https://openlibrary.org/books/OL32063059M/Dearly,224.0,,,,,,,/books/OL32063059M,https://covers.openlibrary.org/b/id/10720686-S.jpg,https://covers.openlibrary.org/b/id/10720686-M.jpg,https://covers.openlibrary.org/b/id/10720686-L.jpg,,Dearly,"Nov 02, 2021",,,"Poetry (poetic works by one author); English literature; Modern Poetry; POETRY / Women Authors; POETRY / Canadian / General; POETRY / Subjects & Themes / Death, Grief, Loss",Margaret Atwood,,,Source title: Dearly: New Poems,New Poems,Ecco,,,,,,,,,,,,,
,9780063032514,OL29855906M,,https://openlibrary.org/books/OL29855906M/Dearly,144.0,,,,,,,/books/OL29855906M,,,,,Dearly,2020,,,"Poetry (poetic works by one author); English literature; Modern Poetry; POETRY / Women Authors; POETRY / Canadian / General; POETRY / Subjects & Themes / Death, Grief, Loss",Margaret Atwood,,,,New Poems,HarperCollins Publishers,,,,,,,,,,,,,
009949695X,9780099496953,OL32318765M,"{'title': ""The Handmaid's Tale - Wikipedia"", 'url': 'https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale'}; {'title': 'sparknotes.com/lit/handmaid/', 'url': 'https://www.sparknotes.com/lit/handmaid/'}; {'title': 'Margaret Atwood: The Handmaid’s Tale feels real in 2019, but the solution won’t come from novels', 'url': 'http://theconversation.com/margaret-atwood-the-handmaids-tale-feels-real-in-2019-but-the-solution-wont-come-from-novels-112854'}; {'title': ""An analysis of The Handmaid's Tale by Margaret Atwood"", 'url': 'https://www.skyminds.net/analysis-handmaids-tale-by-margaret-atwood/'}; {'title': ""The Handmaid's Tale | Plot, Legacy, & Facts | Britannica.com"", 'url': 'https://www.britannica.com/topic/The-Handmaids-Tale-by-Atwood'}; {'title': 'VIAF ID: 186154411 (Work)', 'url': 'http://viaf.org/viaf/186154411'}; {'title': 'thegreatestbooks.org/items/1368', 'url': 'https://thegreatestbooks.org/items/1368'}",https://openlibrary.org/books/OL32318765M/The_Handmaid's_Tale,336.0,,,Margaret Atwood (1939-); Offred; Commanders; Rachel; Bilhah; Aunts; Handmaids; Marthas; Econowives; Moira; Serena Joy; Ofglen; Nick; Eyes of God; Luke; Professor Pieixoto,,Republic of Gilead; New England; United States of America; Canada; Jezebel's; Colonies,,/books/OL32318765M,https://covers.openlibrary.org/b/id/10942412-S.jpg,https://covers.openlibrary.org/b/id/10942412-M.jpg,https://covers.openlibrary.org/b/id/10942412-L.jpg,,The Handmaid's Tale,"Sep 01, 2005",,,"brothels; Canadian authors; Canadian fantasy fiction; Canadian fiction (fictional works by one author); Christian fundamentalism; Dystopian fiction; Dystopias; fantasy fiction; Fiction; Fiction, dystopian; Fiction, fantasy, general; handmaids; Large type books; Man-woman relationships; Man-woman relationships, fiction; military dictatorship; Misogyny; New York Times bestseller; nyt:e-book-fiction=2017-01-22; nyt:trade-fiction-paperback=2017-02-26; Old Testament; Political; political fiction; pregnancy; religious fanaticism; revolution; science fiction; Scrabble; Social aspects; theocracy; theonomy; totalitarianism; United States Congress; Women; Study guides; History and criticism; Handmaid's tale (Atwood, Margaret); Roman canadien de langue anglaise; Misogynie; collectionID:EanesChallenge; Romans, nouvelles; Femmes; collectionID:ConroeChallenge; FICTION / Dystopian; FICTION / Political; FICTION / Science Fiction; Teen fiction; World literature; Fiction subjects; Science fiction & fantasy; Comics & graphic novels, adaptations; Comics & graphic novels, literary; Comics & graphic novels, fantasy; Dystopian; Foreign relations; Neutrality; Long Now Manual for Civilization",Margaret Atwood,PR9199.3.A8,"{'text': 'We slept in what had become the gymnasium.', 'comment': 'first sentence'}",,,Vintage Books USA,,,,,,,,,,,,,
,9780099511663,OL31854516M,"{'title': ""The Handmaid's Tale - Wikipedia"", 'url': 'https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale'}; {'title': 'sparknotes.com/lit/handmaid/', 'url': 'https://www.sparknotes.com/lit/handmaid/'}; {'title': 'Margaret Atwood: The Handmaid’s Tale feels real in 2019, but the solution won’t come from novels', 'url': 'http://theconversation.com/margaret-atwood-the-handmaids-tale-feels-real-in-2019-but-the-solution-wont-come-from-novels-112854'}; {'title': ""An analysis of The Handmaid's Tale by Margaret Atwood"", 'url': 'https://www.skyminds.net/analysis-handmaids-tale-by-margaret-atwood/'}; {'title': ""The Handmaid's Tale | Plot, Legacy, & Facts | Britannica.com"", 'url': 'https://www.britannica.com/topic/The-Handmaids-Tale-by-Atwood'}; {'title': 'VIAF ID: 186154411 (Work)', 'url': 'http://viaf.org/viaf/186154411'}; {'title': 'thegreatestbooks.org/items/1368', 'url': 'https://thegreatestbooks.org/items/1368'}",https://openlibrary.org/books/OL31854516M/The_Handmaid's_Tale,336.0,,,Margaret Atwood (1939-); Offred; Commanders; Rachel; Bilhah; Aunts; Handmaids; Marthas; Econowives; Moira; Serena Joy; Ofglen; Nick; Eyes of God; Luke; Professor Pieixoto,,Republic of Gilead; New England; United States of America; Canada; Jezebel's; Colonies,,/books/OL31854516M,https://covers.openlibrary.org/b/id/10542901-S.jpg,https://covers.openlibrary.org/b/id/10542901-M.jpg,https://covers.openlibrary.org/b/id/10542901-L.jpg,,The Handmaid's Tale,"October 7, 2010",,,"brothels; Canadian authors; Canadian fantasy fiction; Canadian fiction (fictional works by one author); Christian fundamentalism; Dystopian fiction; Dystopias; fantasy fiction; Fiction; Fiction, dystopian; Fiction, fantasy, general; handmaids; Large type books; Man-woman relationships; Man-woman relationships, fiction; military dictatorship; Misogyny; New York Times bestseller; nyt:e-book-fiction=2017-01-22; nyt:trade-fiction-paperback=2017-02-26; Old Testament; Political; political fiction; pregnancy; religious fanaticism; revolution; science fiction; Scrabble; Social aspects; theocracy; theonomy; totalitarianism; United States Congress; Women; Study guides; History and criticism; Handmaid's tale (Atwood, Margaret); Roman canadien de langue anglaise; Misogynie; collectionID:EanesChallenge; Romans, nouvelles; Femmes; collectionID:ConroeChallenge; FICTION / Dystopian; FICTION / Political; FICTION / Science Fiction; Teen fiction; World literature; Fiction subjects; Science fiction & fantasy; Comics & graphic novels, adaptations; Comics & graphic novels, literary; Comics & graphic novels, fantasy; Dystopian; Foreign relations; Neutrality; Long Now Manual for Civilization",Margaret Atwood,PR9199.3.A8,"{'text': 'We slept in what had become the gymnasium.', 'comment': 'first sentence'}",,,Vintage Classics,,,,,,,,,,,,,
0099563142,9780099563143,OL32381477M,"{'title': ""The Handmaid's Tale - Wikipedia"", 'url': 'https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale'}; {'title': 'sparknotes.com/lit/handmaid/', 'url': 'https://www.sparknotes.com/lit/handmaid/'}; {'title': 'Margaret Atwood: The Handmaid’s Tale feels real in 2019, but the solution won’t come from novels', 'url': 'http://theconversation.com/margaret-atwood-the-handmaids-tale-feels-real-in-2019-but-the-solution-wont-come-from-novels-112854'}; {'title': ""An analysis of The Handmaid's Tale by Margaret Atwood"", 'url': 'https://www.skyminds.net/analysis-handmaids-tale-by-margaret-atwood/'}; {'title': ""The Handmaid's Tale | Plot, Legacy, & Facts | Britannica.com"", 'url': 'https://www.britannica.com/topic/The-Handmaids-Tale-by-Atwood'}; {'title': 'VIAF ID: 186154411 (Work)', 'url': 'http://viaf.org/viaf/186154411'}; {'title': 'thegreatestbooks.org/items/1368', 'url': 'https://thegreatestbooks.org/items/1368'}",https://openlibrary.org/books/OL32381477M/Handmaid's_Tale,320.0,,,Margaret Atwood (1939-); Offred; Commanders; Rachel; Bilhah; Aunts; Handmaids; Marthas; Econowives; Moira; Serena Joy; Ofglen; Nick; Eyes of God; Luke; Professor Pieixoto,,Republic of Gilead; New England; United States of America; Canada; Jezebel's; Colonies,,/books/OL32381477M,https://covers.openlibrary.org/b/id/11045773-S.jpg,https://covers.openlibrary.org/b/id/11045773-M.jpg,https://covers.openlibrary.org/b/id/11045773-L.jpg,,Handmaid's Tale,"Aug 01, 2011",,,"brothels; Canadian authors; Canadian fantasy fiction; Canadian fiction (fictional works by one author); Christian fundamentalism; Dystopian fiction; Dystopias; fantasy fiction; Fiction; Fiction, dystopian; Fiction, fantasy, general; handmaids; Large type books; Man-woman relationships; Man-woman relationships, fiction; military dictatorship; Misogyny; New York Times bestseller; nyt:e-book-fiction=2017-01-22; nyt:trade-fiction-paperback=2017-02-26; Old Testament; Political; political fiction; pregnancy; religious fanaticism; revolution; science fiction; Scrabble; Social aspects; theocracy; theonomy; totalitarianism; United States Congress; Women; Study guides; History and criticism; Handmaid's tale (Atwood, Margaret); Roman canadien de langue anglaise; Misogynie; collectionID:EanesChallenge; Romans, nouvelles; Femmes; collectionID:ConroeChallenge; FICTION / Dystopian; FICTION / Political; FICTION / Science Fiction; Teen fiction; World literature; Fiction subjects; Science fiction & fantasy; Comics & graphic novels, adaptations; Comics & graphic novels, literary; Comics & graphic novels, fantasy; Dystopian; Foreign relations; Neutrality; Long Now Manual for Civilization",Margaret Atwood,,"{'text': 'We slept in what had become the gymnasium.', 'comment': 'first sentence'}",,,Vintage Books,,,,,,,,,,,,,
,9780099594024,OL28628029M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/2016/10/30/books/review/hag-seed-tempest-retold-margaret-atwood.html'}",https://openlibrary.org/books/OL28628029M/Hag-Seed,320.0,,"{'preview_url': 'https://archive.org/details/hagseedtempestre0000atwo_x2y0', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL28628029M,https://covers.openlibrary.org/b/id/12508450-S.jpg,https://covers.openlibrary.org/b/id/12508450-M.jpg,https://covers.openlibrary.org/b/id/12508450-L.jpg,,Hag-Seed,2017,,,"Death; Theater; Novela psicología; Familias; Revenge; Fiction; Prison theater; Teatro; Venganza; Ficción; Muerte; Daughters; New York Times reviewed; Canadian fiction (fictional works by one author); Ontario, fiction; Dramatic production; Filles; Romans, nouvelles; Mort; Vengeance; Théâtre dans les prisons; Contemporary Women; Humorous; Literary; Theatrical producers and directors; Bearbeitung; Tempest (Shakespeare, William)",Margaret Atwood,PR9199.3.A8,,,,Vintage,,,,,,,,,,,,,
0099740818,9780099740810,OL7319853M,,https://openlibrary.org/books/OL7319853M/Bodily_Harm,304.0,,"{'preview_url': 'https://archive.org/details/bodilyharm0000atwo_f6j1', 'availability': 'restricted', 'formats': {}}",,,Caribbean Area; Canada,,/books/OL7319853M,https://covers.openlibrary.org/b/id/12508447-S.jpg,https://covers.openlibrary.org/b/id/12508447-M.jpg,https://covers.openlibrary.org/b/id/12508447-L.jpg,,Bodily Harm,2007,,,"Fiction; Revolutions; Canadians; Revolutions in fiction; Canadians in fiction; Caribbean Area in fiction; Women journalists; Women journalists in fiction; Canada in fiction; Travel; Canadian fiction; Women authors; Canadian fiction (fictional works by one author); Caribbean area, fiction; Canada, fiction; Women journalists, fiction; Large type books",Margaret Atwood,PR9199.3.A8,"{'text': 'This is how I got here, says Rennie.', 'comment': '', 'first_sentence': True}",,,Vintage Books,,18559,1179953,,,,,,,,,,
0099740915,9780099740919,OL7319855M,"{'title': ""The Handmaid's Tale - Wikipedia"", 'url': 'https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale'}; {'title': 'sparknotes.com/lit/handmaid/', 'url': 'https://www.sparknotes.com/lit/handmaid/'}; {'title': 'Margaret Atwood: The Handmaid’s Tale feels real in 2019, but the solution won’t come from novels', 'url': 'http://theconversation.com/margaret-atwood-the-handmaids-tale-feels-real-in-2019-but-the-solution-wont-come-from-novels-112854'}; {'title': ""An analysis of The Handmaid's Tale by Margaret Atwood"", 'url': 'https://www.skyminds.net/analysis-handmaids-tale-by-margaret-atwood/'}; {'title': ""The Handmaid's Tale | Plot, Legacy, & Facts | Britannica.com"", 'url': 'https://www.britannica.com/topic/The-Handmaids-Tale-by-Atwood'}; {'title': 'VIAF ID: 186154411 (Work)', 'url': 'http://viaf.org/viaf/186154411'}; {'title': 'thegreatestbooks.org/items/1368', 'url': 'https://thegreatestbooks.org/items/1368'}",https://openlibrary.org/books/OL7319855M/The_Handmaid's_Tale,324.0,324p.,"{'preview_url': 'https://archive.org/details/handmaidstale0000atwo_n4n6', 'availability': 'restricted', 'formats': {}}",Margaret Atwood (1939-); Offred; Commanders; Rachel; Bilhah; Aunts; Handmaids; Marthas; Econowives; Moira; Serena Joy; Ofglen; Nick; Eyes of God; Luke; Professor Pieixoto,,Republic of Gilead; New England; United States of America; Canada; Jezebel's; Colonies,,/books/OL7319855M,https://covers.openlibrary.org/b/id/13423789-S.jpg,https://covers.openlibrary.org/b/id/13423789-M.jpg,https://covers.openlibrary.org/b/id/13423789-L.jpg,,The Handmaid's Tale,/2009,,London,"brothels; Canadian authors; Canadian fantasy fiction; Canadian fiction (fictional works by one author); Christian fundamentalism; Dystopian fiction; Dystopias; fantasy fiction; Fiction; Fiction, dystopian; Fiction, fantasy, general; handmaids; Large type books; Man-woman relationships; Man-woman relationships, fiction; military dictatorship; Misogyny; New York Times bestseller; nyt:e-book-fiction=2017-01-22; nyt:trade-fiction-paperback=2017-02-26; Old Testament; Political; political fiction; pregnancy; religious fanaticism; revolution; science fiction; Scrabble; Social aspects; theocracy; theonomy; totalitarianism; United States Congress; Women; Study guides; History and criticism; Handmaid's tale (Atwood, Margaret); Roman canadien de langue anglaise; Misogynie; collectionID:EanesChallenge; Romans, nouvelles; Femmes; collectionID:ConroeChallenge; FICTION / Dystopian; FICTION / Political; FICTION / Science Fiction; Teen fiction; World literature; Fiction subjects; Science fiction & fantasy; Comics & graphic novels, adaptations; Comics & graphic novels, literary; Comics & graphic novels, fantasy; Dystopian; Foreign relations; Neutrality; Long Now Manual for Civilization",Margaret Atwood,PR9199.3.A8; PR9199.3.A8 H3 1996,"{'text': 'We slept in what had become the gymnasium.', 'comment': 'first sentence'}",,,Vintage Books,,1667444,60774420,,39900946,,,,,,,,
0099741016,,OL19879085M,,https://openlibrary.org/books/OL19879085M/Life_before_man,317.0,"[2], 317, [1] p.","{'preview_url': 'https://archive.org/details/lifebeforeman0000atwo', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL19879085M,https://covers.openlibrary.org/b/id/10212601-S.jpg,https://covers.openlibrary.org/b/id/10212601-M.jpg,https://covers.openlibrary.org/b/id/10212601-L.jpg,Margaret Atwood.,Life before man,1996,,London,"Fiction; Man-woman relationships; Married people; Middle-aged women; Women authors; Canadian fiction; Canadian fiction (fictional works by one author); Married people, fiction; Man-woman relationships, fiction; American literature; Dreierbeziehung",Margaret Atwood,PR9199.3.A8,,RBSC copy: Original paperback with coloured illustrated cover.,,Vintage,,2670,1243016,,,,,,,,,,
0099741113,9780099741114,OL7319858M,,https://openlibrary.org/books/OL7319858M/Dancing_Girls_(Contemporary_Classics),240.0,,,,,Canada,,/books/OL7319858M,https://covers.openlibrary.org/b/id/78145-S.jpg,https://covers.openlibrary.org/b/id/78145-M.jpg,https://covers.openlibrary.org/b/id/78145-L.jpg,,Dancing Girls (Contemporary Classics),"July 5, 2007",,,"Social life and customs; Fiction; Canadian Short stories; Women; Short stories, Canadian (English); Canada, fiction; Canadian fiction (fictional works by one author); Fiction, short stories (single author)",Margaret Atwood,PR9199.3.A8,,,,Vintage,,38695,1356554,,,,,,,,,,
0099741210,,OL20086730M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/1986/11/05/arts/books-of-the-time.html'}",https://openlibrary.org/books/OL20086730M/Bluebeard's_egg_and_other_stories,281.0,281 p.,,,,Canada,,/books/OL20086730M,,,,Margaret Atwood.,Bluebeard's egg and other stories,1996,,London,"Social life and customs; Fiction; Canada, fiction; Canadian fiction (fictional works by one author); Fiction, short stories (single author); Large type books; New York Times reviewed; Manners and customs; Canada; Canadian fiction",Margaret Atwood,PR9199.3.A8,,RBSC copy: In original illustrated paper covers.,,Vintage,,27631,856923,,,,,,,,,,
0099744716,,OL19772008M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/1986/11/05/arts/books-of-the-time.html'}",https://openlibrary.org/books/OL19772008M/Bluebeard's_egg,281.0,281p. ;,"{'preview_url': 'https://archive.org/details/bluebeardsegg0000atwo_b4x2', 'availability': 'borrow', 'formats': {}, 'borrow_url': ""https://openlibrary.org/books/OL19772008M/Bluebeard's_egg/borrow"", 'checkedout': False}",,,Canada,,/books/OL19772008M,https://covers.openlibrary.org/b/id/11597134-S.jpg,https://covers.openlibrary.org/b/id/11597134-M.jpg,https://covers.openlibrary.org/b/id/11597134-L.jpg,Margaret Atwood.,Bluebeard's egg,1996,,London,"Social life and customs; Fiction; Canada, fiction; Canadian fiction (fictional works by one author); Fiction, short stories (single author); Large type books; New York Times reviewed; Manners and customs; Canada; Canadian fiction",Margaret Atwood,,,,,Vintage,,27631,856924,,,,813.54,,,,,,
0099744910,,OL18344357M,,https://openlibrary.org/books/OL18344357M/Dancing_girls_and_other_stories,240.0,240 p.,,,,Canada,,/books/OL18344357M,https://covers.openlibrary.org/b/id/7393390-S.jpg,https://covers.openlibrary.org/b/id/7393390-M.jpg,https://covers.openlibrary.org/b/id/7393390-L.jpg,Margaret Atwood.,Dancing girls and other stories,1996,,London,"Social life and customs; Fiction; Canadian Short stories; Women; Short stories, Canadian (English); Canada, fiction; Canadian fiction (fictional works by one author); Fiction, short stories (single author)",Margaret Atwood,,,"Reduced in size from another Vintage edition published the same year.

RBSC copy: Original paperback with coloured illustrated cover.",,Vintage,,38695,1379773,,472755135,,,,,,,,
